Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type
"100k, 10k, 10k, 10k, 5.6k",5,R,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,tht
REF1,1,c 100uf,CP_Radial_D8.0mm_P5.00mm,,,,tht
